X,Y
0.1,0.045
0.102,0.04
0.104,0.115
0.106,0.175
0.108,0.1
0.11,-0.005
0.112,-0.005
0.114,-0.005
0.116,-0.075
0.118,0.04
0.12,0.22
0.122,0.075
0.124,0.15
0.126,0.205
0.128,0.18
0.13,0.15
0.132,0.11
0.134,0.15
0.136,0.13
0.138,0.09
0.14,0.105
0.142,0.055
0.144,0.085
0.146,0.16
0.148,0.2
0.15,0.18
0.152,0.15
0.154,0.125
0.156,0.1
0.158,0.09
0.16,0.125
0.162,0.22
0.164,0.27
0.166,0.26
0.168,0.325
0.17,0.34
0.172,0.275
0.174,0.265
0.176,0.175
0.178,0.155
0.18,0.215
0.182,0.335
0.184,0.275
0.186,0.185
0.188,0.19
0.19,0.28
0.192,0.45
0.194,0.405
0.196,0.26
0.198,0.225
0.2,0.27
0.202,0.29
0.204,0.275
0.206,0.225
0.208,0.34
0.21,0.365
0.212,0.25
0.214,0.275
0.216,0.3
0.218,0.3
0.22,0.25
0.222,0.25
0.224,0.27
0.226,0.29
0.228,0.245
0.23,0.165
0.232,0.15
0.234,0.13
0.236,0.05
0.238,0.085
0.24,0.235
0.242,0.205
0.244,0.125
0.246,0.14
0.248,0.12
0.25,0.15
0.252,0.09
0.254,0
0.256,-0.085
0.258,-0.05
0.26,0.065
0.262,0.12
0.264,0.135
0.266,0.125
0.268,0.12
0.27,0.04
0.272,0.01
0.274,-0.05
0.276,-0.175
0.278,-0.025
0.28,0.06
0.282,0.05
0.284,0.05
0.286,0.03
0.288,-0.01
0.29,0
0.292,-0.065
0.294,-0.175
0.296,-0.14
0.298,0.035
0.3,0.155
0.302,0.025
0.304,0.055
0.306,0.015
0.308,-0.03
0.31,0.005
0.312,0.02
0.314,-0.055
0.316,-0.095
0.318,-0.095
0.32,-0.09
0.322,-0.13
0.324,-0.03
0.326,0.13
0.328,0.08
0.33,0.045
0.332,0.02
0.334,-0.03
0.336,-0.04
0.338,-0.055
0.34,-0.12
0.342,-0.05
0.344,0.03
0.346,0.05
0.348,0.055
0.35,0.015
0.352,-0.065
0.354,-0.1
0.356,-0.04
0.358,-0.01
0.36,-0.055
0.362,0.025
0.364,-0.01
0.366,-0.025
0.368,0
0.37,0
0.372,0
0.374,-0.03
0.376,-0.1
0.378,-0.13
0.38,-0.02
0.382,0.09
0.384,0.04
0.386,0.085
0.388,0.12
0.39,0.005
0.392,-0.155
0.394,-0.22
0.396,-0.18
0.398,0.015
0.4,0.11
0.402,0.065
0.404,0.105
0.406,0.07
0.408,0.05
0.41,0.015
0.412,-0.095
0.414,-0.14
0.416,-0.1
0.418,-0.07
0.42,-0.04
0.422,-0.01
0.424,-0.04
0.426,-0.02
0.428,-0.025
0.43,0.075
0.432,-0.005
0.434,-0.035
0.436,-0.05
0.438,-0.06
0.44,-0.1
0.442,-0.015
0.444,0.05
0.446,0.02
0.448,0.01
0.45,0.025
0.452,-0.105
0.454,-0.12
0.456,-0.095
0.458,-0.095
0.46,-0.06
0.462,0
0.464,-0.045
0.466,-0.07
0.468,0.09
0.47,0
0.472,-0.09
0.474,-0.07
0.476,-0.075
0.478,-0.105
0.48,-0.08
0.482,-0.025
0.484,-0.03
0.486,0.005
0.488,-0.05
0.49,0.025
0.492,-0.06
0.494,-0.115
0.496,-0.075
0.498,-0.045
0.5,-0.035
0.502,0.025
0.504,0.015
0.506,0.02
0.508,0.015
0.51,-0.01
0.512,-0.185
0.514,-0.13
0.516,-0.105
0.518,-0.11
0.52,-0.05
0.522,-0.01
0.524,-0.02
0.526,-0.03
0.528,0.015
0.53,-0.045
0.532,-0.195
0.534,-0.14
0.536,-0.065
0.538,-0.02
0.54,-0.065
0.542,-0.045
0.544,0.03
0.546,-0.015
0.548,-0.01
0.55,-0.095
0.552,-0.17
0.554,-0.075
0.556,-0.05
0.558,-0.015
0.56,-0.065
0.562,-0.015
0.564,0.07
0.566,0.035
0.568,-0.05
0.57,-0.055
0.572,-0.065
0.574,-0.075
0.576,-0.07
0.578,-0.11
0.58,-0.06
0.582,-0.055
0.584,-0.015
0.586,0.065
0.588,0.02
0.59,-0.035
0.592,-0.08
0.594,-0.2
0.596,-0.275
0.598,-0.13
0.6,0.105
0.602,0.115
0.604,0.115
0.606,0.165
0.608,0.08
0.61,0.04
0.612,0
0.614,-0.065
0.616,-0.04
0.618,0.005
0.62,-0.005
0.622,0.01
0.624,0.04
0.626,0.02
0.628,0.08
0.63,0.005
0.632,-0.04
0.634,-0.03
0.636,-0.015
0.638,-0.06
0.64,-0.025
0.642,0.01
0.644,0
0.646,0.065
0.648,-0.05
0.65,-0.21
0.652,-0.275
0.654,-0.165
0.656,0.05
0.658,0.085
0.66,0.02
0.662,0
0.664,-0.03
0.666,-0.035
0.668,-0.02
0.67,-0.025
0.672,-0.04
0.674,-0.14
0.676,-0.12
0.678,-0.06
0.68,-0.06
0.682,-0.015
0.684,-0.065
0.686,-0.125
0.688,-0.05
0.69,-0.12
0.692,-0.21
0.694,-0.21
0.696,-0.115
0.698,-0.135
0.7,-0.03
0.702,-0.01
0.704,0
0.706,-0.035
0.708,-0.1
0.71,-0.11
0.712,-0.095
0.714,0
0.716,-0.06
0.718,-0.18
0.72,-0.225
0.722,-0.04
0.724,0.03
0.726,-0.02
0.728,-0.105
0.73,-0.15
0.732,-0.185
0.734,-0.085
0.736,-0.09
0.738,-0.26
0.74,-0.165
0.742,0.02
0.744,0.015
0.746,0.03
0.748,0.105
0.75,0.11
0.752,0.175
0.754,0.28
0.756,0.4
0.758,0.45
0.76,0.585
0.762,0.715
0.764,0.85
0.766,0.85
0.768,0.815
0.77,0.67
0.772,0.57
0.774,0.42
0.776,0.305
0.778,0.2
0.78,0.025
0.782,-0.085
0.784,-0.135
0.786,-0.12
0.788,-0.03
0.79,-0.175
0.792,-0.195
0.794,-0.15
0.796,-0.15
0.798,-0.11
0.8,-0.05
0.802,0.01
0.804,0.01
0.806,-0.125
0.808,-0.16
0.81,-0.15
0.812,-0.24
0.814,-0.08
0.816,0
0.818,-0.015
0.82,-0.035
0.822,-0.005
0.824,0.005
0.826,-0.045
0.828,-0.07
0.83,-0.125
0.832,-0.155
0.834,-0.235
0.836,-0.14
0.838,0.045
0.84,0.06
0.842,0.05
0.844,0.065
0.846,0.025
0.848,-0.05
0.85,-0.07
0.852,-0.06
0.854,-0.03
0.856,-0.08
0.858,-0.04
0.86,0.02
0.862,-0.015
0.864,-0.15
0.866,-0.15
0.868,0.075
0.87,-0.015
0.872,-0.035
0.874,-0.045
0.876,-0.025
0.878,-0.075
0.88,-0.12
0.882,-0.035
0.884,0.055
0.886,0.045
0.888,-0.005
0.89,-0.05
0.892,-0.035
0.894,-0.065
0.896,-0.01
0.898,0.005
0.9,0.035
0.902,0.06
0.904,0.065
0.906,0.05
0.908,-0.03
0.91,-0.03
0.912,-0.055
0.914,-0.115
0.916,0.045
0.918,0.13
0.92,0.155
0.922,0.11
0.924,0.125
0.926,0.125
0.928,0.035
0.93,-0.01
0.932,-0.015
0.934,0
0.936,0.025
0.938,0.055
0.94,-0.005
0.942,0.14
0.944,0.185
0.946,0.195
0.948,0.11
0.95,0.035
0.952,0.035
0.954,0.005
0.956,0.065
0.958,0.17
0.96,0.12
0.962,0.32
0.964,0.33
0.966,0.28
0.968,0.21
0.97,0.17
0.972,0.19
0.974,0.125
0.976,0.155
0.978,0.19
0.98,0.235
0.982,0.29
0.984,0.27
0.986,0.255
0.988,0.195
0.99,0.13
0.992,0.115
0.994,0.185
0.996,0.105
0.998,0.095
1,0.185
1.002,0.21
1.004,0.225
1.006,0.25
1.008,0.145
1.01,0.125
1.012,0.08
1.014,-0.03
1.016,0.005
1.018,0.19
1.02,0.215
1.022,0.215
1.024,0.16
1.026,0.07
1.028,0.01
1.03,0.06
1.032,0.03
1.034,-0.035
1.036,-0.14
1.038,0.025
1.04,0.085
1.042,0.08
1.044,0.04
1.046,0.03
1.048,-0.035
1.05,-0.11
1.052,-0.185
1.054,-0.175
1.056,-0.075
1.058,-0.03
1.06,-0.055
1.062,-0.03
1.064,-0.02
1.066,-0.04
1.068,-0.155
1.07,-0.145
1.072,-0.12
1.074,-0.13
1.076,-0.1
1.078,-0.055
1.08,-0.07
1.082,-0.07
1.084,-0.055
1.086,-0.05
1.088,-0.065
1.09,-0.06
1.092,-0.085
1.094,-0.08
1.096,-0.09
1.098,0.015
1.1,-0.025
1.102,-0.025
1.104,-0.05
1.106,-0.1
1.108,-0.095
1.11,-0.13
1.112,-0.22
1.114,-0.115
1.116,-0.145
1.118,-0.095
1.12,-0.03
1.122,0.015
1.124,-0.07
1.126,-0.105
1.128,-0.07
1.13,0.005
1.132,-0.13
1.134,-0.115
1.136,-0.105
1.138,-0.07
1.14,0.015
1.142,0.02
1.144,-0.035
1.146,-0.155
1.148,-0.075
1.15,-0.065
1.152,-0.11
1.154,-0.155
1.156,-0.14
1.158,-0.015
1.16,0.06
1.162,-0.01
1.164,-0.015
1.166,-0.045
1.168,-0.045
1.17,-0.02
1.172,-0.095
1.174,-0.12
1.176,-0.035
1.178,-0.005
1.18,0
1.182,-0.02
1.184,-0.09
1.186,-0.095
1.188,-0.04
